label,group,condition,item_num,type,list,message_html,maze_s,maze_a,question
Group_3_Condition_8_S18,3,8,18,experiment,1,自由活动前，导游正在提醒游客注意事项。导游说：____________________。<br>  <br>点击下方链接开始造句。,"那条 山路 很 危险 ,不要 一个人 过去。",x-x-x 星座 喵 草莓 x-x-x 月饼盒 绿豆。,导游说所有的路都很安全。
Group_3_Condition_7_S19,3,7,19,experiment,1,一家人在讨论新房的装修方案。爸爸说：____________________。<br>  <br>点击下方链接开始造句。,"这个 客厅 宽敞 ,以后 还能 放钢琴。",x-x-x 心碎 生菜 x-x-x 曹操 每一天。,爸爸说这个客厅太小了。
Group_3_Condition_6_S20,3,6,20,experiment,1,老师们讨 论考试成绩。年级组长问：“哪个班表现得不好？”李老师说：____________________。<br>  <br>点击下方链接开始造句。,"三班 成绩 很 糟糕 ,平均分 最低。",x-x-x 药水 嘟 海峡 x-x-x 曹操。,李老师说三班的成绩不太好。
Group_4_Condition_5_S17,4,5,17,experiment,1,老师检查教室卫生。老师问：“哪个小组表现得好？”班长说：____________________。<br>  <br>点击下方链接开始造句。,"第二组 桌椅 整齐 ,卫生 也很 干净。",x-x-x 绝情 光临 x-x-x 牛蛙 肉丸。,老师认为第二组表现得好。
Group_4_Condition_8_S18,4,8,18,experiment,1,小李和朋友去了新开的游乐场。妹妹问他游乐场好玩吗？小李说：____________________。<br>  <br>点击下方链接开始造句。,"空中 飞毯 很 刺激 ,我们 特别 喜欢。",x-x-x 粉碎 第 怜悯 x-x-x 榴莲 袋子。,小李觉得空中飞毯一点也不刺激。
Group_4_Condition_7_S19,4,7,19,experiment,1,飞行员汇报飞行情况。飞行员说：____________________。<br>  <br>点击下方链接开始造句。,"南部 航线 平稳 ,几乎 没有 颠簸。",x-x-x 清楚 专辑 x-x-x 匆匆 得。,飞行员说航线非常颠簸。
Group_4_Condition_6_S20,4,6,20,experiment,1,演员们在排练话剧。导演问：“哪句台词需要改？”演员说：____________________。<br>  <br>点击下方链接开始造句。,"最后 那句 很 别扭 ,而且 不太 连贯。",x-x-x 泪水 咚 天赋 x-x-x 手腕 树叶。,演员觉得最后那句台词需要修改。
Group_1_Condition_2_S01,1,2,1,experiment,2,峰峰和磊磊想给小陈带一杯饮料。峰峰：小陈想喝咖啡吗？磊磊：____________________。<br>  <br>点击下方链接开始造句。,"小陈 说 她 想喝 咖啡 来着 ,我们 买一杯。",x-x-x 个 三 定局 看清 烟火 x-x-x 消防栓。,小陈想喝咖啡。
Group_1_Condition_1_S02,1,1,2,experiment,2,琳琳和彤彤想送只宠物给张华。琳琳：张华是喜欢小猫还是小狗？彤彤：____________________。<br>  <br>点击下方链接开始造句。,"张华 说 他 喜欢 小猫 来着 ,我们 等会 去看。",x-x-x 汁 岁 根号 透明 与其 x-x-x 菱形 拟人。,张华喜欢小猫。
Group_1_Condition_4_S03,1,4,3,experiment,2,芬芬爸爸和妈妈在讨论今晚的晚餐。爸爸：芬芬昨晚说了什么？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"芬芬 说 她 想吃 大虾 来着 ,今天 大虾 新鲜。",x-x-x 条 位 完事 勇气 啦啦 x-x-x 比喻 键盘。,芬芬想吃大虾。
Group_1_Condition_3_S04,1,3,4,experiment,2,老师和学长在讨论小明的社团。老师：小明会喜欢足球社吗？学长：____________________。<br>  <br>点击下方链接开始造句。,"小明 说 他 喜欢 网球 来着 ,等会 他 会报名。",x-x-x 件 首 名词 抠门 噗嗤 x-x-x 了 逆命题。,小明喜欢足球。
Group_2_Condition_2_S01,2,2,1,experiment,2,两位秘书在讨论老板的行程。秘书A：老板是出差想坐高铁吗？秘书B：____________________。<br>  <br>点击下方链接开始造句。,"老板 说 他 想坐 高铁 来着 ,我们 帮他 订票。",x-x-x 块 串 得令 空气 拔河 x-x-x 啤酒 奶油。,老板想坐高铁。
Group_2_Condition_1_S02,2,1,2,experiment,2,老师和班长在讨论小李的选修课。老师：小李会选修数学还是物理？班长：____________________。<br>  <br>点击下方链接开始造句。,"小李 说 她 会选 数学 来着 ,他 热爱 数学。",x-x-x 根 件 成败 呼吸 哧溜 x-x-x 森林 光临。,小李想选物理。
Group_2_Condition_4_S03,2,4,3,experiment,2,爸爸和妈妈想给妹妹报兴趣班。妈妈：妹妹昨晚跟你说了什么？爸爸：____________________。<br>  <br>点击下方链接开始造句。,"妹妹 说 她 想学 钢琴 来着 ,因为 小提琴 很难。",x-x-x 颗 张 法令 彻底 苔藓 x-x-x 含羞草 屋顶。,妹妹想学钢琴。
Group_2_Condition_3_S04,2,3,4,experiment,2,兰兰和峰峰想买点水果给小彭。兰兰：小彭爱吃芒果吗？峰峰：____________________。<br>  <br>点击下方链接开始造句。,"小彭 说 他 想吃 苹果 来着 ,因为 苹果 很脆。",x-x-x 粒 架 作罢 剧情 咔嚓 x-x-x 师傅 法师。,小彭想吃芒果。
Group_3_Condition_2_S01,3,2,1,experiment,2,爸爸和妈妈在讨论给小彤的生日礼物。爸爸：小彤想要相机吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小彤 说 她 想要 相机 来着 ,因为 想学 摄影。",x-x-x 片 辆 句式 体现 喷嚏 x-x-x 公式 圆圈。,小彤想要相机。
Group_3_Condition_1_S02,3,1,2,experiment,2,教练和领队在讨论小张的训练计划。教练：小张是想学长跑还是游泳？领队：____________________。<br>  <br>点击下方链接开始造句。,"小张 说 他 想学 长跑 来着 ,因为 喜欢 跑步。",x-x-x 勺 栋 头发 继续 朵朵 x-x-x 嫦娥 液体。,小张想学长跑。
Group_3_Condition_4_S03,3,4,3,experiment,2,爸爸和妈妈想给森森报外语兴趣班。爸爸：森森昨晚说了什么吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"森森 说 她 想学 法语 来着 ,因为 喜欢 法国。",x-x-x 桌 次 公交 沙漠 下雨 x-x-x 小乔 如何。,森森想学德语。
Group_3_Condition_3_S04,3,3,4,experiment,2,摊主和熟客在讨论孩子的口味。摊主：你家孩子爱吃芹菜吗？熟客：____________________。<br>  <br>点击下方链接开始造句。,"孩子 说 他 想吃 菠菜 来着 ,因为 营养 丰富。",x-x-x 椅 此 月亮 彩虹 颗粒 x-x-x 三国 大鹅。,孩子想吃菠菜。
Group_4_Condition_2_S01,4,2,1,experiment,2,爸爸和妈妈想给笑笑报美术兴趣班。爸爸：笑笑想学油画吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"笑笑 说 她 想学 油画 来着 ,因为 色彩 丰富。",x-x-x 辆 呵 山峰 莲藕 丑陋 x-x-x 哪吒 皮肤。,笑笑想学素描。
Group_4_Condition_1_S02,4,1,2,experiment,2,设计师在向助手确认业主的方案。设计师：业主是喜欢中式还是欧式？助手：____________________。<br>  <br>点击下方链接开始造句。,"业主 说 他 喜欢 中式 来着 ,因为 简洁 大方。",x-x-x 艘 种 呵呵 身边 喉咙 x-x-x 埃及 奇数。,业主喜欢中式装修。
Group_4_Condition_4_S03,4,4,3,experiment,2,文文和欣欣准备给小娟买点水果。文文：小娟说了什么吗？欣欣：____________________。<br>  <br>点击下方链接开始造句。,"小娟 说 她 爱吃 苹果 来着 ,因为 清甜 可口。",x-x-x 串 杯 琴弦 高峰 虚伪 x-x-x 妲己 射手。,小娟爱吃香蕉。
Group_4_Condition_3_S04,4,3,4,experiment,2,师姐和师妹想给老师买束鲜花。师妹：老师喜欢月季吗？师姐：____________________。<br>  <br>点击下方链接开始造句。,"老师 说 她 喜欢 玫瑰 来着 ,因为 非常 浪漫。",x-x-x 碟 支 破损 章节 虚浮 x-x-x 李白 眉毛。,老师喜欢月季。
Group_1_Condition_2_S05,1,2,5,experiment,2,浩浩和阳阳想给妹妹带一份甜品。浩浩：妹妹爱吃蛋糕吗？阳阳：____________________。<br>  <br>点击下方链接开始造句。,"妹妹 说 她 想吃 蛋糕 来着 ,很久 没 吃了。",x-x-x 把 朵 雕刻 计较 饺子 x-x-x 呵 吧唧。,妹妹想吃蛋糕。
Group_1_Condition_1_S06,1,1,6,experiment,2,两位员工想给老板买一份茶叶。员工A：老板是喜欢红茶还是绿茶？员工B：____________________。<br>  <br>点击下方链接开始造句。,"老板 说 他 喜欢 红茶 来着 ,叫 我们 带一些。",x-x-x 丛 块 碗筷 确实 浮华 x-x-x 皇后。 出租车。,老板喜欢绿茶。
Group_1_Condition_4_S07,1,4,7,experiment,2,爸爸和妈妈想给弟弟买一件衬衫。爸爸：弟弟打电话说了什么？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"弟弟 说 他 喜欢 蓝色 来着 ,因为 灰色 显黑。",x-x-x 束 件 僵尸 无力 猴子 x-x-x 刺耳 面包。,弟弟喜欢灰色。
Group_1_Condition_3_S08,1,3,8,experiment,2,暑假爸爸和妈妈想带小李出去旅游。爸爸：小李会想去四川玩吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小李 说 他 想去 新疆 来着 ,因为 想吃 羊肉。",x-x-x 朵 双 指南 渠道 纷飞 x-x-x 条目 您说。,小李想去新疆。
Group_2_Condition_2_S05,2,2,5,experiment,2,姐姐和哥哥想给弟弟买玩具。姐姐：弟弟是想要积木吗？哥哥：____________________。<br>  <br>点击下方链接开始造句。,"弟弟 说 他 想要 拼图 来着 ,叫 我们 带一个。",x-x-x 张 片 科学 分子 牛奶 x-x-x 火箭 而且。,弟弟想要积木。
Group_2_Condition_1_S06,2,1,6,experiment,2,乐乐和笑笑想带约翰逛北京。乐乐：约翰是想去故宫还是长城？笑笑：____________________。<br>  <br>点击下方链接开始造句。,"约翰 说 他 想去 故宫 来着 ,因为 喜欢 建筑。",x-x-x 篇 朵 账单 人头 课本 x-x-x 问卷 恋爱。,约翰想去故宫。
Group_2_Condition_4_S07,2,4,7,experiment,2,爷爷想给小华寄一些自种蔬菜。爷爷：小华刚刚打电话来说什么？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小华 说 他 想吃 番茄 来着 ,等会 寄一些 回去。",x-x-x 首 头 火焰 还是 水流 x-x-x 原子弹 墨子。,小华想吃萝卜。
Group_2_Condition_3_S08,2,3,8,experiment,2,奶奶想买点零食给小明。奶奶：小明想吃红薯吗？爷爷：____________________。<br>  <br>点击下方链接开始造句。,"小明 说 他 想吃 核桃 来着 ,等会 买 多一些。",x-x-x 册 颗 居民 羡慕 扑通 x-x-x 咚 出租车。,小明想吃红薯。
Group_3_Condition_2_S05,3,2,5,experiment,2,妈妈和爸爸在准备小刚明天的早点。妈妈：小刚明早想吃面条吗？爸爸：____________________。<br>  <br>点击下方链接开始造句。,"小刚 说 他 想吃 面条 来着 ,热乎乎 ,很满足。",x-x-x 副 根 窗户 后果 琵琶 x-x-x 洗衣液。,小刚想吃面条。
Group_3_Condition_1_S06,3,1,6,experiment,2,爸爸和妈妈在为蕾蕾的派对准备食材。爸爸：蕾蕾说是想吃汉堡还是披萨？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"蕾蕾 说 她 想吃 汉堡 来着 ,很久 没 吃了。",x-x-x 幅 台 帽子 水平 瓷器 x-x-x 嗯 蛋白。,蕾蕾想吃汉堡。
Group_3_Condition_4_S07,3,4,7,experiment,2,姐姐和哥哥想买点喝的带给小红。姐姐：小红刚刚说了什么？哥哥：____________________。<br>  <br>点击下方链接开始造句。,"小红 说 她 想喝 果汁 来着 ,夏天 喝 很清爽。",x-x-x 尾 辆 老鼠 更加 噼啪 x-x-x 噢 洗衣液。,小红想喝酸奶。
Group_3_Condition_3_S08,3,3,8,experiment,2,组长和助理在商量给客户的礼品。组长：客户想要耳机吗？助理：____________________。<br>  <br>点击下方链接开始造句。,"客户 说 他 想要 鼠标 来着 ,旧的 坏了。",x-x-x 瓶 片 绿灯 公理 化学 x-x-x 直径。,客户想要耳机。
Group_4_Condition_2_S05,4,2,5,experiment,2,小祝和小陈在挑选客厅的摆件。小陈：妈妈应该喜欢花瓶吧。小祝：____________________。<br>  <br>点击下方链接开始造句。,"妈妈 说 她 喜欢 花瓶 来着 ,放着 非常 美观。",x-x-x 罐 篇 偶数 分钟 哼哧 x-x-x 相机 袋子。,妈妈喜欢花瓶。
Group_4_Condition_1_S06,4,1,6,experiment,2,爸爸和妈妈想给芳芳报舞蹈班。爸爸：芳芳是想学街舞还是芭蕾？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"芳芳 说 她 想学 街舞 来着 ,看着 很酷。",x-x-x 盒 座 剪刀 兔子 蒸馏 x-x-x 盒子。,芳芳想学芭蕾。
Group_4_Condition_4_S07,4,4,7,experiment,2,两位老师想送一本书给小张。老师A：小张上次说了什么？老师B：____________________。<br>  <br>点击下方链接开始造句。,"小张 说 他 爱读 小说 来着 ,因为 情节 精彩。",x-x-x 袋 杯 风雪 鳄鱼 眉毛 x-x-x 椰子 孙权。,小张爱读小说。
Group_4_Condition_3_S08,4,3,8,experiment,2,爸爸和妈妈在讨论今晚的饭菜。爸爸：小芳想吃清蒸鱼吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小芳 说 她 想吃 排骨 来着 ,很久 没 吃了。",x-x-x 碟 箱 理智 倾诉 抽象 x-x-x 嗯 刺客。,小芳想吃清蒸鱼。
Group_1_Condition_6_S09,1,6,9,experiment,2,学校要挑旗手。老师问：“这两个学生谁合适？”老师说：____________________。<br>  <br>点击下方链接开始造句。,"那个 男生 很 高 ,选他吧。",x-x-x 重复 部 凭 x-x-x,老师认为那个男生更适合当旗手。
Group_1_Condition_5_S10,1,5,10,experiment,2,佳佳在商场买裙子。她问店员：“这两条裙子哪条合适？”店员说：____________________。<br>  <br>点击下方链接开始造句。,"这条 黑裙子 长 ,没有 小号了。",x-x-x 高远球 据 x-x-x 量体温。,店员认为那条黑裙子不适合佳佳。
Group_1_Condition_8_S11,1,8,11,experiment,2,工人在打扫院子。工人说：____________________。<br>  <br>点击下方链接开始造句。,"左边的 水池 很 深 ,小孩 别 靠近。",x-x-x 开始 次 凭 x-x-x 呗 他们。,工人提醒小孩不要靠近水池。
Group_1_Condition_7_S12,1,7,12,experiment,2,老师们在商量今年春游的时间。李老师：____________________。<br>  <br>点击下方链接开始造句。,"周三 天气 热 ,不 适合 户外。",x-x-x 懦弱 由 x-x-x 煞星 飞机。,李老师说周三很适合户外活动。
Group_2_Condition_6_S09,2,6,9,experiment,2,音乐老师在排班级合唱的队形。助教问：“明明和小丽谁站在第一排好呀？”老师说：____________________。<br>  <br>点击下方链接开始造句。,"小丽 个子 很 矮 ,让 她 站前面。",x-x-x 时候 莓 泪 x-x-x 呗 瓜子壳。,老师让小丽站在后排。
Group_2_Condition_5_S10,2,5,10,experiment,2,老师在给幼儿园的小朋友讲《龟兔赛跑》的故事。老师问：“跑步的话，乌龟和兔子谁厉害呀？”笑笑说：____________________。<br>  <br>点击下方链接开始造句。,"乌龟 跑步 慢 ,我猜 兔子 赢。",x-x-x 姨婆 被 x-x-x 侠客 得。,笑笑觉得兔子会赢。
Group_2_Condition_8_S11,2,8,11,experiment,2,乐乐的生日要到了。妈妈在和爸爸商量派对的安排。妈妈说：____________________。<br>  <br>点击下方链接开始造句。,"周五 放学 很 晚 ,派对 得要 推迟。",x-x-x 皇后 妞 趁 x-x-x 李白 大招。,妈妈说派对可能要晚点开始。
Group_2_Condition_7_S12,2,7,12,experiment,2,小高和小王在商量要不要周末自驾回老家。小高说：____________________。<br>  <br>点击下方链接开始造句。,"高速 收费 贵 ,要不 国庆 再回。",x-x-x 孙权 将 x-x-x 橙子 失忆。,高速收费很便宜。
Group_3_Condition_6_S09,3,6,9,experiment,2,派对上，丽丽请希希帮她端 一下自己的橙汁。希希说：“这里有三杯橙子，哪个是你的？”丽丽说：____________________。<br>  <br>点击下方链接开始造句。,"我的 那杯 很 满 ,杯里 没有 吸管。",x-x-x 类似 周 脱 x-x-x 团结 特别。,丽丽说她的杯子里放了吸管。
Group_3_Condition_5_S10,3,5,10,experiment,2,工作人员在安排明天会议的座位。工作人员问：“张老师坐第一排还是第二排？”经理说：____________________。<br>  <br>点击下方链接开始造句。,"第一排 现在 空 ,坐 第一排。",x-x-x 鳄鱼 据 x-x-x 柠檬水。,经理建议张老师坐第一排。
Group_3_Condition_8_S11,3,8,11,experiment,2,小朋友把水桶打翻了，清洁工正在打扫。工人说：____________________。<br>  <br>点击下方链接开始造句。,"这边 地面 很 湿 ,小心 滑倒。",x-x-x 药性 猪 论 x-x-x 流泪。,工人提醒大家小心滑倒。
Group_3_Condition_7_S12,3,7,12,experiment,2,木工和业主在敲定家具定制细节。业主想知道为什么胡桃木这么贵。木工说：____________________。<br>  <br>点击下方链接开始造句。,"胡桃 木质 硬 ,能用 更久呀。",x-x-x 多云 趁 x-x-x 星期一。,木工说胡桃木能用得更久。
Group_4_Condition_6_S09,4,6,9,experiment,2,销售在和张华确认新屋的楼层。张华问：选低层还是高层？张华说：____________________。<br>  <br>点击下方链接开始造句。,"低层 楼房 很 吵 ,所以 选 高层。",x-x-x 日语 牧 沿 x-x-x 么 教堂。,销售觉得低层房屋更好。
Group_4_Condition_5_S10,4,5,10,experiment,2,舞蹈比赛快到了。老师问：“这两条裙子哪条更干净？”李老师说：____________________。<br>  <br>点击下方链接开始造句。,"这条 粉裙子 脏 ,选 红的。",x-x-x 学生卡 依 x-x-x 醒醒。,老师在找更干净的裙子。
Group_4_Condition_8_S11,4,8,11,experiment,2,班里这个月没有得到精神文明奖，辅导员问班长原因。班长说：____________________。<br>  <br>点击下方链接开始造句。,"男生 寝室 很 乱 ,扣了 很多分。",x-x-x 猩猩 伞 把 x-x-x 充电器。,这个月班级得到了精神文明奖。
Group_4_Condition_7_S12,4,7,12,experiment,2,长期合作的公司这次没有通过竞标，总裁问经理具体的原因。经理说：____________________。<br>  <br>点击下方链接开始造句。,"他们的 方案 差 ,完全 没法 落地。",x-x-x 走了 依 x-x-x 师姐 楼梯。,长期合作的公司成功通过了竞标。
Group_1_Condition_6_S13,1,6,13,experiment,2,骨科会诊，医生们正 在看CT结果。实习生问：“两个肩膀我们先看哪一边？”医生说：____________________。<br>  <br>点击下方链接开始造句。,"右边的 影像 很 清楚 ,先看 右边的。",x-x-x 项羽 木 回去 x-x-x 塑料袋。,医生说右边的影像比较清楚。
Group_1_Condition_5_S14,1,5,14,experiment,2,记者在整理采访录音。编辑问：“哪段录音能直接用？”记者说：____________________。<br>  <br>点击下方链接开始造句。,"前面的 录音 模糊 ,后面 那段 好些。",x-x-x 怀念 药水 x-x-x 皇帝 钓鱼。,记者说前面的录音很清楚。
Group_1_Condition_8_S15,1,8,15,experiment,2,水果店老板正在向顾客推荐今天的水果。老板说：____________________。<br>  <br>点击下方链接开始造句。,"左边 草莓 很 新鲜 ,可以买 一点。",x-x-x 那年 空 绝情 x-x-x 后羿。,老板在向顾客推荐桑葚。
Group_1_Condition_7_S16,1,7,16,experiment,2,小李和朋友聊起单位的同事。小李说：____________________。<br>  <br>点击下方链接开始造句。,"张经理 态度 严厉 ,但是 是个 热心肠。",x-x-x 而已 车厢 x-x-x 熊猫 龙舌兰。,小李说张经理的态度很温和。
Group_2_Condition_6_S13,2,6,13,experiment,2,阿明和小琪在讨论 在讨论通勤方案。阿明问：“哪条线人更少？”小琪说：____________________。<br>  <br>点击下方链接开始造句。,"地铁 二号线 很 拥挤 ,还是 坐 四号线。",x-x-x 东北虎 咩 绿豆 x-x-x 吧 龙舌兰。,小琪说地铁二号线人比较少。
Group_2_Condition_5_S14,2,5,14,experiment,2,小张和小 李在商场试沙发。小张问：“你觉得哪张坐着最好？”小李说：____________________。<br>  <br>点击下方链接开始造句。,"这个 沙发 舒服 ,买 这个 吧。",x-x-x 围绕 佣人 x-x-x 答案 将。,小李觉得这个沙发坐着最舒服。
Group_2_Condition_8_S15,2,8,15,experiment,2,小赵负责的专题报道进展非常慢。主编在安慰她。主编说：____________________。<br>  <br>点击下方链接开始造句。,"你的 选题 很 复杂 ,需要 查很多 资料。",x-x-x 首都 汪 罪人 x-x-x 晾衣杆 饼干。,主编说选题本身很复杂，所以进展慢。
Group_2_Condition_7_S16,2,7,16,experiment,2,工程师正在汇报测试结果。工程师说：____________________。<br>  <br>点击下方链接开始造句。,"这个 系统 稳定 ,暂时 不用 升级。",x-x-x 环绕 祷告 x-x-x 天敌 绝望。,工程师说系统出了问题。
Group_3_Condition_6_S13,3,6,13,experiment,2,厨师长问张师傅：“咱俩谁的刀更好用？”张师傅说：____________________。<br>  <br>点击下方链接开始造句。,"我的 刀片 很 锋利 ,切肉 又快 又薄。",x-x-x 海里 兔 信徒 x-x-x 过敏 泪水。,张师傅觉得自己的刀比厨师长的好用。
Group_3_Condition_5_S14,3,5,14,experiment,2,游客们 在民宿里选房间。游客问：“哪间房住起来更舒服？”老板说：____________________。<br>  <br>点击下方链接开始造句。,"楼下 房间 潮湿 ,还是 楼上 更好。",x-x-x 眷恋 访学 x-x-x 潇洒 天地。,老板觉得楼上的房间住起来更舒服。
Group_3_Condition_8_S15,3,8,15,experiment,2,妈妈很喜欢新保姆准备的晚饭。妈妈说：____________________。<br>  <br>点击下方链接开始造句。,"鸡汤 味道 很 清淡 ,晚上 喝着 舒服。",x-x-x 再见 叮 恋人 x-x-x 银子 匆匆。,妈妈对保姆做的饭不满意。
Group_3_Condition_7_S16,3,7,16,experiment,2,演出马上开始了。工作人员问大家准备的怎么样。导演说：____________________。<br>  <br>点击下方链接开始造句。,"那个 演员 紧张 ,现在 还在 深呼吸。",x-x-x 看见 椭圆 x-x-x 萝卜 长颈鹿。,演出已经结束了。
Group_4_Condition_6_S13,4,6,13,experiment,2,同学们讨论聚餐地点。小王问：“去哪家店比较好？”小李说：____________________。<br>  <br>点击下方链接开始造句。,"这家 饭店 很 热闹 ,聚会 更有 气氛。",x-x-x 物理 哒 耳机 x-x-x 山脉 篮球。,小李觉得这家饭店太冷清了。
Group_4_Condition_5_S14,4,5,14,experiment,2,家长们在给孩子选自习室。妈妈问：“哪个教室更适合学习？”爸爸说：____________________。<br>  <br>点击下方链接开始造句。,"二楼 教室 安静 ,就在 这里。",x-x-x 海底 汽车 x-x-x 恩怨。,爸爸觉得二楼教室太吵了。
Group_4_Condition_8_S15,4,8,15,experiment,2,员工们正在整理材料。员工说：____________________。<br>  <br>点击下方链接开始造句。,"现在的 流程 很 麻烦 ,需要 很多 文件。",x-x-x 出现 架 黄灯 x-x-x 罢了 涨潮。,员工说现在的报销流程很麻烦。
Group_4_Condition_7_S16,4,7,16,experiment,2,蛋糕店的店员正在向顾客介绍店里的蛋糕。店员说：____________________。<br>  <br>点击下方链接开始造句。,"这款 样式 新颖 ,销量 一直 不错。",x-x-x 抬头 南瓜 x-x-x 门口 消毒。,店员推荐这款蛋糕的样式很普通。
Group_1_Condition_6_S17,1,6,17,experiment,2,朋友们在讨论去哪儿露营。小王问：“山里和湖边晚上都很舒服。”小李说：____________________。<br>  <br>点击下方链接开始造句。,"山里 晚上 很 冷 ,还是 住 湖边",x-x-x 短剧 岁 将 x-x-x 呢 非常。,小李说山里晚上很冷。
Group_1_Condition_5_S18,1,5,18,experiment,2,几个同学在 水果店试吃李子。小王问：“哪一种更适合直接吃？”店员说：____________________。<br>  <br>点击下方链接开始造句。,"这种 李子 酸 ,不能 直接 吃。",x-x-x 左手 趁 x-x-x 而已 把。,店员认为这种李子不适合直接吃。
Group_1_Condition_8_S19,1,8,19,experiment,2,快递员们在整理需要配送的包裹。王师傅说：____________________。<br>  <br>点击下方链接开始造句。,"这个 箱子 很 轻 ,一个人 能 拿动。",x-x-x 强烈 呜 由 x-x-x 格 数字。,王师傅说这个箱子很轻。
Group_1_Condition_7_S20,1,7,20,experiment,2,妈妈正在厨房处理鱼。妈妈说：____________________。<br>  <br>点击下方链接开始造句。,"这条 鲫鱼 腥 ,得用 料酒 处理。",x-x-x 灵光 论 x-x-x 至上 大海。,妈妈说那条鲫鱼有腥味。
Group_2_Condition_6_S17,2,6,17,experiment,2,妈 妈带丽丽来买鞋。妈妈问：“这两双哪双更合脚？”丽丽说：____________________。<br>  <br>点击下方链接开始造句。,"红的 这双 很 松 ,有没有 小号。",x-x-x 入座 楼 沿 x-x-x 至上。,丽丽觉得红的这双鞋太紧了。
Group_2_Condition_5_S18,2,5,18,experiment,2,朋友 们在咖啡店聊天。小王问：“最近哪种咖啡销量好？”小李说：____________________。<br>  <br>点击下方链接开始造句。,"这个 新款 苦 ,女生 可能 喝不惯。",x-x-x 小心 把 x-x-x 馒头 羽毛球。,小李说新款咖啡比较甜。
Group_2_Condition_8_S19,2,8,19,experiment,2,爸爸非常满意他买的新床垫。爸爸说：____________________。<br>  <br>点击下方链接开始造句。,"这个 床垫 很 软 ,睡着 特别 舒服。",x-x-x 听说 辆 所 x-x-x 包子 烧麦。,爸爸后悔买了新床垫。
Group_2_Condition_7_S20,2,7,20,experiment,2,摄影师在向剧组导演介绍拍摄方案。摄影师说：____________________。<br>  <br>点击下方链接开始造句。,"机修 车间 旧 ,拍出来 更有 感觉。",x-x-x 珍惜 按 x-x-x 鸡爪 了。,摄影师说机修车间很新。
Group_3_Condition_6_S17,3,6,17,experiment,2,公司在讨论岗位安排。经理问：“小张和小李谁更适合负责外勤？”主管说：____________________。<br>  <br>点击下方链接开始造句。,"小张 做事 很 灵活 ,外联 更有 经验。",x-x-x 泰国 汤 饺子 x-x-x 排骨 前进。,主管觉得小张更适合负责外勤。
Group_3_Condition_5_S18,3,5,18,experiment,2,游客们 准备爬山。小阳问导游：“走哪条路更安全？”导游说：____________________。<br>  <br>点击下方链接开始造句。,"那条 山路 危险 ,还是 绕远 一点吧。",x-x-x 星座 草莓 x-x-x 罢了 榨果汁。,导游说有条山路比较危险。
Group_3_Condition_8_S19,3,8,19,experiment,2,一家人在讨论新房的装修方案。爸爸说：____________________。<br>  <br>点击下方链接开始造句。,"这个 客厅 很 宽敞 ,以后 还能 放钢琴。",x-x-x 心碎 喵 生菜 x-x-x 曹操 每一天。,爸爸说这个客厅太小了。
Group_3_Condition_7_S20,3,7,20,experiment,2,教师大会上，年级组长在总结考试情况。李老师说：____________________。<br>  <br>点击下方链接开始造句。,"三班 成绩 糟糕 ,家长们 都很 着急。",x-x-x 药水 海峡 x-x-x 牛蛙 肉丸。,家长们不在乎成绩。
Group_4_Condition_6_S17,4,6,17,experiment,2,老师检查教室卫生。老师问：“哪个小组表现得好？”班长说：____________________。<br>  <br>点击下方链接开始造句。,"第二组 桌椅 很 整齐 ,卫生 也很 干净。",x-x-x 绝情 哦 光临 x-x-x 牛蛙 肉丸。,老师认为第二组表现得好。
Group_4_Condition_5_S18,4,5,18,experiment,2,朋友们在游乐园聊天。小王问：“哪个项目更过瘾？”小李说：____________________。<br>  <br>点击下方链接开始造句。,"空中 飞毯 刺激 ,我们 特别 喜欢。",x-x-x 粉碎 怜悯 x-x-x 榴莲 袋子。,小李推荐了空中飞毯。
Group_4_Condition_8_S19,4,8,19,experiment,2,飞行员汇报飞行情况。飞行员说：____________________。<br>  <br>点击下方链接开始造句。,"南部 航线 很 平稳 ,几乎 没有 颠簸。",x-x-x 清楚 饿 专辑 x-x-x 匆匆 得。,飞行员说航线非常颠簸。
Group_4_Condition_7_S20,4,7,20,experiment,2,演员们在讨论剧本。演员说：____________________。<br>  <br>点击下方链接开始造句。,"最后 那句 别扭 ,观众 可能 听不懂。",x-x-x 泪水 天赋 x-x-x 手腕 运动鞋。,演员说最后那句台词很自然。
Group_1_Condition_3_S01,1,3,1,experiment,3,峰峰和磊磊想给小陈带一杯饮料。峰峰：小陈想喝奶茶吗？磊磊：____________________。<br>  <br>点击下方链接开始造句。,"小陈 说 她 想喝 咖啡 来着 ,我们 买一杯。",x-x-x 个 三 定局 看清 烟火 x-x-x 消防栓。,小陈想喝咖啡。
